Espanyol v Valencia;39;92.86;3.25;3.45;Valencia;Primera División;02:44;España;2
Udinese v Palermo;2;95.63;5.25;5.40;Palermo;Copa de Italia;00:07;Italia;0
Sevilla v Villarreal;39;92.62;3.1;3.30;Sevilla;Primera División;06:02;España;6
Girona v Espanyol;2;94.96;2.50;2.60;Girona;Primera División;00:05;España;0
VfL Wolfsburg v RB Leipzig;7;94.37;2.60;2.72;VfL Wolfsburg;Bundesliga;23:38;Germany;23
Espanyol v Valencia;69;94.29;3.30;3.45;Valencia;Primera División;00:20;España;0
Southampton v Middlesbrough;2;94.23;3.25;3.40;Middlesbrough;Championship;00:05;Inglaterra;0
Sporting Braga v Feyenoord;48;94.06;3.10;3.25;Feyenoord;Europa League;49:31;Competiciones UEFA (Clubs);49
Atlético de Madrid v Eintracht Frankfurt;48;93.88;5.25;5.50;Eintracht Frankfurt;Champions League;06:45;Competiciones UEFA (Clubs);6
Atlético v Eintracht Frankfurt;39;91.2;5.1;5.50;Eintracht Frankfurt;UEFA Champions League;06:07;Clubes Internacional;6
